,CZ,AF7,AF3,FP1,F1,F3,F5,F7,FT7,FC1,FC3,FC5,C1,C3,C5,T7,TP7,CP1,CP3,CP5,P1,P3,P5,P7,P9,PO3,PO7,O1,IZ,OZ,POZ,PZ,CPZ,FPZ,FP2,AF8,AF4,AFZ,FZ,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCZ,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
CZ,0.0,230.6729,185.4077,229.8978,125.004,150.446,187.9707,230.8679,231.1731,80.6226,126.1269,177.5528,60.0083,116.0043,174.0029,232.0022,232.125,81.3204,127.9414,178.8435,127.7693,151.9803,190.0316,230.6382,287.8368,187.6406,231.8146,230.8463,289.0017,230.0087,173.0116,116.0172,59.0339,229.0087,228.3594,227.4225,184.2308,172.0116,113.0177,123.8588,148.6775,185.6071,227.6225,228.011,174.7513,122.1188,77.0779,57.0351,55.0091,112.0045,171.0029,227.0022,228.6329,175.1142,123.5476,79.9312,125.9365,149.6262,187.0187,228.2126,285.8006,230.2889,184.7728,230.5667
AF7,230.6729,0.0,69.8713,79.177,114.8564,80.4487,59.0,65.0692,134.2721,151.1622,126.8464,120.2206,200.0325,183.9918,184.6212,202.5957,263.7954,252.7232,242.86,246.1727,313.4278,301.5294,305.0016,319.0486,361.3862,359.4899,368.0489,406.0788,490.9827,434.5135,381.0472,328.7704,278.3541,148.9463,214.2195,282.0018,214.2825,141.2869,156.5407,200.1924,244.7877,287.9028,330.3604,376.724,327.9634,279.9589,233.8482,187.7685,268.9387,313.2874,362.9325,412.3397,440.0102,391.9962,347.9684,310.3627,352.6613,380.2973,416.0697,454.7362,512.1406,460.8004,411.428,453.5912
AF3,185.4077,69.8713,0.0,48.0104,60.4152,59.6154,84.0536,119.5492,176.4001,115.1173,118.2709,141.1134,171.5721,176.0824,198.0934,232.8197,282.2942,227.5632,233.2831,251.8035,289.083,287.9201,302.2185,325.2599,374.4356,342.0015,362.5162,389.0013,464.7688,406.4283,350.4754,294.9237,240.0521,93.086,149.8933,213.2346,145.0,72.0278,91.8314,132.0038,175.5135,218.1238,260.4995,307.7028,260.0346,214.2265,172.0727,133.9888,214.2008,252.6599,298.7742,346.182,378.4772,333.054,293.2985,261.9637,311.2362,332.4154,363.6372,399.4859,456.1688,413.5372,370.1581,415.3902
FP1,229.8978,79.177,48.0104,0.0,105.7592,105.7592,118.8108,142.4114,207.8894,162.693,164.6845,180.7595,219.3855,223.1815,241.168,270.6326,324.6922,275.4088,280.863,297.2541,336.8561,335.8586,349.2921,370.9515,418.7708,390.0051,410.0256,437.0,512.0869,453.5912,397.394,341.463,285.9545,71.8471,141.0,215.3787,151.7893,84.5991,126.7517,157.3849,194.8333,232.3123,270.3794,325.5826,282.3491,242.2437,206.6349,175.9602,253.6632,286.681,327.8674,371.431,410.1219,367.7227,331.7303,304.2367,355.7879,374.3274,402.9057,436.644,492.4683,455.2713,414.4514,460.4433
F1,125.004,114.8564,60.4152,105.7592,0.0,48.0,94.2603,140.2926,176.5701,59.6825,84.9588,128.0352,116.5204,133.9589,170.5315,216.6679,253.3377,172.2353,186.3357,214.3945,233.0,236.9135,257.1886,285.5591,338.3962,288.1753,314.56,334.8612,406.8415,348.1867,291.8099,235.7329,180.236,123.3086,155.8782,198.9196,132.0038,73.8783,47.0425,95.0,142.0035,188.1701,233.7734,269.7795,218.2842,167.3708,119.2015,74.6525,155.7947,198.4364,248.7087,299.386,325.1538,277.4617,235.1042,201.8539,250.8745,272.3417,304.6999,341.7441,398.8483,353.4586,309.7693,355.1746
F3,150.446,80.4487,59.6154,105.7592,48.0,0.0,46.5296,92.9624,130.6331,70.7248,58.9406,86.4002,121.758,117.5457,139.23,177.9916,223.5442,176.3661,175.7299,192.2004,237.8928,232.0,243.5775,265.7066,314.8841,287.842,304.6375,334.8612,415.2493,357.8407,303.2639,249.7719,198.2448,148.3947,194.5096,244.7877,176.7739,110.7881,95.0211,143.0,190.0026,236.1356,281.6416,317.2081,265.149,213.0469,162.4838,111.3059,191.2067,239.0335,292.0274,344.1395,365.4655,315.6596,269.5366,230.2889,272.3417,300.0167,336.5858,376.113,433.6727,380.4064,331.1873,373.873
F5,187.9707,59.0,84.0536,118.8108,94.2603,46.5296,0.0,46.5725,92.358,107.6151,71.1126,63.3246,148.3846,125.9286,126.8464,151.8223,208.1658,198.1565,184.456,187.542,257.7518,243.3865,246.002,260.7393,304.5997,301.7615,309.0582,348.1106,434.8391,379.1899,326.9648,276.6315,229.4384,177.0028,231.8124,287.9028,219.3171,149.6028,141.2869,189.1296,236.0763,282.0018,327.2201,363.7362,311.636,259.2798,208.0817,155.2611,233.0944,283.1148,337.2314,389.909,408.945,358.095,310.0403,267.5892,304.2515,335.8943,374.9733,415.9062,473.5325,415.0614,362.2403,402.3779
F7,230.8679,65.0692,119.5492,142.4114,140.2926,92.9624,46.5725,0.0,70.6612,151.6047,107.4802,74.3303,186.0349,153.0,135.724,141.9894,207.6391,231.0433,207.9928,199.1105,287.7933,266.9869,261.725,269.0019,306.3234,326.1978,325.0262,371.26,462.4911,408.7689,358.9499,311.6023,268.0392,208.8564,269.429,330.2196,261.49,189.842,187.1817,234.7701,281.5759,327.185,372.0,410.0256,358.1089,305.8513,254.5683,201.3082,277.982,328.9757,383.544,436.4058,454.3798,402.995,353.9096,309.6982,342.5318,376.7015,417.3104,459.0697,516.6372,454.6702,399.4859,437.4529
FT7,231.1731,134.2721,176.4001,207.8894,176.5701,130.6331,92.358,70.6612,0.0,162.693,108.7796,54.5894,175.4537,126.4911,85.44,72.9932,142.0035,206.4655,169.1449,145.031,254.8764,224.662,209.2869,208.6265,240.3518,282.9735,271.0221,325.1292,421.3799,371.6517,327.2002,287.2159,253.8188,269.236,323.3466,375.1826,307.3792,240.2603,222.009,269.6145,316.2183,362.7465,408.8826,437.0011,383.0835,328.2986,274.4668,218.4491,284.2692,339.7175,397.5739,452.7615,459.8021,406.096,353.1926,303.7532,324.6798,364.7808,409.4203,453.4887,510.0637,437.8242,377.7089,410.1244
FC1,80.6226,151.1622,115.1173,162.693,59.6825,70.7248,107.6151,151.6047,162.693,0.0,54.037,108.2266,57.0351,81.3204,129.2478,183.0983,206.6349,113.0,128.3783,162.1142,174.2326,177.3415,199.4893,230.4821,285.0439,228.6329,255.5191,275.4088,349.677,291.431,235.7477,180.8867,127.9101,181.8378,205.2316,232.7767,172.154,128.8099,79.9062,119.5701,162.4838,208.0817,254.2597,275.3561,221.1108,166.003,112.0045,56.0089,126.5622,179.3014,235.9873,290.6441,303.3299,251.4776,202.5142,160.5148,201.6928,229.7303,267.5892,308.2937,365.9208,309.8661,260.6012,303.8174
