FC1,FC2
-15.4776,-11.0279
-14.34,-9.0947
-14.3899,-8.724
-13.19,-8.5721
-11.5528,-7.9829
-10.7907,-7.8626
-9.4039,-7.8675
-6.486,-5.8413
-5.3184,-3.7529
-6.401,-3.8521
-6.7025,-3.7953
-5.9729,-2.0823
-5.681,-1.2132
-3.5456,-0.0942
-4.3166,-0.8504
-5.4003,-1.0755
-6.2342,-1.9258
-9.2558,-4.4324
-13.8086,-9.0955
-15.2679,-10.9775
-14.0709,-8.047
-13.3116,-6.1791
-12.0837,-5.28
-10.6997,-4.8499
-10.8786,-5.545
-8.3702,-4.1152
-5.7994,-2.6543
-3.6663,-0.0061
0.8416,5.7046
2.0058,7.6966
0.3576,5.9074
-0.947,3.2119
-2.3142,2.3913
-3.0567,2.6642
-4.2057,0.7495
-4.1987,0.2409
-2.2232,2.9508
0.346,6.0668
1.8525,8.3703
2.5464,9.5486
2.0839,8.6955
1.465,7.9986
0.1271,7.364
-2.711,5.0106
-2.8616,4.2508
-0.6687,5.4284
0.0866,5.3872
-2.0333,3.5021
-0.1533,5.2731
0.539,4.794
-1.3625,2.6898
-2.1078,1.8043
-1.9782,2.2937
0.37,4.3143
0.7181,4.991
0.191,4.2613
0.4763,3.469
1.3864,4.7078
2.1089,4.8215
1.55,4.56
1.2722,5.2359
0.4631,5.5368
0.4663,4.7125
0.063,2.9193
-0.9343,3.0946
-2.6504,2.5823
-0.3042,4.0074
2.3231,5.9949
2.544,5.8884
2.1085,4.4381
1.2667,5.3312
1.831,7.6617
1.3327,8.2109
-1.2283,5.7287
-2.8831,3.3402
-1.0692,4.2954
0.6194,5.4067
-1.1921,3.4241
-3.4411,0.5354
-5.409,-1.041
-5.7521,-1.93
-5.1266,-1.663
-5.9074,-2.3962
-6.7196,-2.5357
-6.1882,-0.644
-3.2193,2.3726
1.7181,6.514
2.7181,7.9053
3.0929,7.8591
1.6552,6.0628
-0.2827,4.1726
-0.4082,4.7197
0.0287,6.0168
0.8719,7.2201
0.9651,6.7358
1.7145,5.439
3.2138,4.2045
4.4004,3.4699
4.2119,2.7664
4.0234,4.3755
3.3973,5.9221
1.9899,5.9998
0.645,4.4525
1.7998,5.1549
3.7045,8.2323
6.0465,8.3094
9.0134,9.2928
9.4802,10.0573
8.9158,9.8843
8.6014,11.055
9.1931,11.5069
7.1598,10.6773
5.6578,8.7228
3.687,6.7682
2.2474,7.3447
2.5265,7.6399
1.9616,6.8725
2.0216,6.8861
3.269,8.7122
3.9539,9.0695
6.0137,9.9581
5.9172,8.7216
4.5707,6.3598
2.9742,5.4355
1.4088,4.511
1.3434,3.7114
2.5593,4.1933
5.494,6.1441
7.8036,8.626
6.8005,8.6078
8.0161,10.2143
6.7003,9.2267
3.322,6.864
2.4435,6.0324
2.7526,6.3258
2.999,7.1506
2.214,6.6941
3.335,6.3312
5.7685,8.3118
4.4521,8.5112
2.3233,7.1791
3.9754,9.0342
6.2835,11.4516
7.4666,12.0564
6.306,10.7862
4.958,10.5161
4.3287,11.2148
5.9181,11.882
6.8513,10.8303
6.0969,10.1223
4.1233,8.4144
3.837,7.8314
3.3944,8.2794
2.5768,8.9771
0.6029,6.4561
-1.2771,3.3414
-0.9075,3.0078
0.1805,3.6428
0.9249,3.6527
1.0444,2.6626
-0.6485,1.3911
-2.9038,-0.443
-1.5653,1.4416
-0.508,3.045
-2.0758,1.6796
-3.4561,-0.5296
-3.9616,-1.0516
-4.8422,-3.4799
-4.9731,-5.4084
-3.4166,-3.6182
-1.954,-1.2656
-1.2412,0.3682
1.628,1.4396
2.7783,1.7608
2.3348,1.832
1.7975,0.2782
0.0727,-0.9633
-1.0272,-2.0487
-0.2834,-2.5403
2.8667,-0.6258
4.3917,2.2887
3.8231,1.547
4.1608,0.2428
3.2173,-0.7803
2.6488,-1.3346
3.7989,-0.8264
5.0114,0.3691
5.4114,0.4082
6.9363,1.041
7.6799,0.5174
6.8298,-1.1937
7.2297,-1.6237
8.3795,-0.4286
7.2169,-0.5462
5.2417,-2.8827
3.8601,-3.813
4.3223,-2.1495
5.0033,-0.7361
4.653,-1.6352
3.3653,-3.5656
2.765,-5.2462
0.5711,-8.3017
-2.3415,-9.9509
-2.7539,-9.9751
-2.2913,-9.2493
-2.8288,-8.3674
-4.9914,-8.4857
-5.3105,-6.4479
-4.2233,-5.2539
-0.855,-3.2475
2.4505,-0.8976
3.8811,-0.4541
4.1555,-0.8231
1.9611,-2.8483
0.6106,-3.4673
-2.7398,-4.5863
-5.6525,-7.5489
-5.4403,-8.0429
-3.5093,-6.9433
-1.7972,-6.2186
-1.4913,-4.494
0.9082,-2.1446
4.2452,1.1422
6.7384,3.2103
5.638,2.8721
5.3815,4.0652
4.3751,4.1334
2.7435,1.8265
3.3931,1.5194
5.9175,3.8373
8.2544,6.3113
7.6226,5.5351
5.522,3.0713
4.8901,2.7326
3.2895,2.8626
1.9077,2.1488
2.0573,1.3727
3.1443,0.6277
5.6063,1.7264
6.0683,1.6687
4.3742,-0.764
2.3676,-3.0405
0.7046,-4.7234
-1.896,-6.6563
-5.184,-9.0267
-4.9406,-8.9595
-2.2909,-7.33
-2.0163,-6.7942
-1.9604,-6.5085
-0.7168,-6.9102
0.1519,-7.4682
1.3955,-5.9638
2.7952,-3.522
5.6012,-0.4241
6.0011,-0.8573
4.1508,-4.1032
-0.3559,-8.5056
0.2624,-7.9393
1.6307,-5.6855
1.7178,-5.9942
0.0861,-8.1468
-1.1707,-9.3933
