FC1,FC2
12.0903,14.862
9.9796,12.4496
10.5563,12.2871
10.4762,12.0302
8.0835,10.4919
7.9719,11.7034
10.1728,15.9459
13.4675,19.9384
14.9187,21.4311
15.2762,21.7677
15.9463,22.7293
14.3977,21.1284
13.2866,20.4023
7.363,14.5199
5.0644,11.9187
6.4845,12.3798
8.1859,15.1848
10.0122,16.8021
11.8073,18.3568
14.2587,21.849
16.5227,22.2162
18.9429,20.1147
16.6757,16.8881
9.8147,11.6302
7.2348,7.4658
7.5298,7.6137
2.7933,5.5425
1.7127,3.5646
2.5072,1.7742
1.833,0.3277
1.9089,1.1936
2.8597,0.4031
2.9669,-0.1999
3.4492,0.3847
-1.1309,-5.3745
-5.8673,-10.7902
-7.8226,-11.9247
-4.6217,-8.5594
-1.1082,-5.2252
1.0927,-3.5786
-0.2375,-4.5257
-1.1614,-6.0354
2.1646,-3.2639
-0.6658,-4.8053
-6.5899,-10.5968
-9.8578,-12.8884
-11.1571,-13.1802
-6.8004,-10.3472
-0.475,-7.3582
3.1005,-5.4004
3.7073,-2.755
4.4082,-1.1094
4.3279,-3.1513
3.2788,-4.0996
2.6984,-4.1417
2.3994,-5.465
-2.1184,-7.1948
-0.7613,-3.456
4.5648,0.0017
2.266,-2.6656
-0.0014,-3.1766
-2.7689,-6.2815
-6.2861,-10.1361
-6.8344,-10.9595
-6.8514,-11.2517
-7.8058,-12.9503
-7.2602,-12.4615
-7.5271,-11.4415
-9.45,-11.8276
-6.6851,-7.1198
-4.639,-5.0057
-4.9053,-5.4854
-6.8277,-6.4964
-7.7503,-7.5389
-11.7355,-11.8315
-15.4706,-16.0305
-17.2055,-18.4481
-16.7531,-17.3973
-12.4571,-12.9091
-9.1923,-9.2022
-6.2715,-4.4017
-5.6319,-4.2264
-5.7735,-6.1136
-7.6649,-9.7194
-14.2439,-14.9504
-14.7604,-14.3066
-9.6205,-10.7565
-7.1682,-7.4878
-4.1846,-2.1255
-1.6073,0.8929
-2.936,-1.3698
-3.7958,-3.2261
-3.2179,-4.5823
-3.3588,-5.3761
-10.5309,-10.0137
-13.6405,-14.214
-14.3751,-15.5707
-14.0159,-13.1774
-11.063,-9.1593
-5.2351,-3.86
-3.6571,-2.0919
-4.1101,-3.2298
-1.5314,-1.5862
-0.6403,-1.2865
-0.4057,-1.362
-0.3586,-2.1877
0.7198,-2.6385
-2.233,-4.9956
-1.8108,-4.1967
4.2052,0.946
12.0961,7.5262
14.4871,9.9188
13.6597,8.6553
14.6138,7.8921
12.0365,4.41
7.1781,0.209
4.4447,-2.4295
3.5237,-3.7245
1.259,-6.957
-1.7554,-9.0332
-3.5197,-8.8281
-3.9714,-8.3103
-1.7354,-7.73
0.4695,-7.0247
-3.7631,-9.3193
-5.9957,-9.7392
