CP1,CP2
-2.1801,1.6806
-3.6551,-3.2181
-0.0047,-1.3352
4.8021,2.2041
8.0466,4.9934
7.51,5.7513
4.9423,3.6967
-0.7815,0.861
-2.1612,2.3067
-2.1655,3.1903
0.8305,4.6053
3.233,3.6769
5.7608,2.4049
1.7575,-1.0856
-1.1832,-1.795
1.5013,-0.4106
1.9049,-1.6198
2.5276,-2.8913
6.7757,-1.0375
8.8055,3.5978
6.8665,5.5143
3.2711,1.9309
-3.1054,-7.6212
-9.638,-14.0794
-13.3579,-16.5062
-14.9837,-14.9015
-13.7342,-13.0779
-11.8908,-11.3792
-7.141,-6.6804
-2.1096,-2.419
2.297,0.9363
2.5163,-0.3644
1.7049,-4.071
3.9564,-4.6523
2.4267,-4.9524
1.9284,-4.4711
2.9306,-5.0521
1.8394,-7.2893
-0.4389,-8.8387
-0.0607,-6.9815
0.5991,-6.0303
1.478,-4.5475
0.2322,-4.2522
3.7054,-3.2066
5.1788,-5.0046
4.0586,-4.9588
1.9699,-5.413
0.2564,-6.6796
-2.8944,-7.8834
-6.7949,-7.8997
-7.7575,-6.1656
-4.345,-4.7125
-3.2134,-3.4779
-3.9566,-1.7745
-2.6684,-0.696
-5.4112,-4.0551
-4.31,-3.3826
-0.2397,-1.2101
5.1121,3.8378
9.683,9.0108
13.5041,14.5902
18.8253,22.7948
16.7095,21.2183
10.8752,14.8921
4.7909,7.7533
2.113,6.3959
1.8732,6.6325
3.3524,8.838
1.3631,9.5125
1.4055,7.031
2.6046,5.7062
3.7101,7.4127
5.5969,7.6818
7.3277,7.2325
1.9026,0.9084
-5.2723,-6.3532
-9.2282,-9.8333
-6.1214,-7.6883
-5.2329,-7.043
-4.5316,-5.2412
0.4828,0.3109
3.7164,3.301
0.4816,0.3852
-2.9406,-3.9368
-3.8939,-8.6336
-2.6906,-11.4865
3.3254,-9.5581
4.9351,-10.9734
3.8577,-12.826
5.8119,-10.7409
7.6416,-7.2182
9.5028,-6.3202
7.7079,-8.297
2.382,-10.3987
-0.6,-13.5314
3.4494,-11.1015
7.7802,-7.7028
11.3303,-4.5224
12.8807,-2.8732
11.3375,-1.9113
9.2635,-0.5428
7.2213,-2.3926
5.5231,-5.0859
0.9814,-11.9041
-1.1539,-17.9095
4.0549,-12.196
3.389,-10.5135
2.3796,-12.1121
3.5268,-10.9604
3.1745,-8.3083
1.5412,-5.406
0.7208,-4.1597
1.807,-5.4132
-0.6379,-7.6665
1.5113,-5.4509
1.567,-5.9226
0.4667,-8.3629
3.0228,-7.2094
3.2041,-3.3996
8.698,4.0352
16.4732,12.5324
17.0298,14.3737
12.5243,12.5591
10.8317,12.3385
8.9832,8.9307
2.2602,3.242
-0.9628,-0.0716
2.5958,-0.1349
2.2173,-3.0106
-4.911,-9.2297
-5.3827,-10.1986
2.8022,-4.9171
9.425,0.7396
6.3606,1.178
0.2028,-2.2896
-0.6108,-4.8506
-1.6117,-4.7551
-0.5499,-4.7533
-0.1756,-7.0328
-1.9574,-7.656
0.2924,-3.5916
4.98,0.973
9.8243,5.6631
10.9189,6.666
4.5763,1.638
-3.8912,-4.3273
-9.6396,-7.7299
-11.3252,-11.0385
-10.7604,-13.347
-9.3516,-13.4053
-3.005,-7.6198
4.4667,-2.9278
6.9388,-1.7981
7.3798,1.8318
6.0711,0.9932
1.9504,-4.845
1.5802,-7.6828
2.1165,-9.7394
3.7153,-8.5458
6.9393,-4.6021
8.3822,-1.752
11.7315,2.3169
15.5186,5.8235
15.3685,6.1116
12.6561,5.2124
13.2563,7.5635
15.388,9.0399
12.0516,7.3919
6.2155,2.744
6.3485,2.2212
10.7318,5.1049
10.084,7.7388
10.7803,12.2167
16.4767,16.8822
16.1421,14.9229
14.2454,11.1513
13.693,11.63
13.1095,12.7027
9.3075,10.5256
8.4432,10.8798
9.2353,11.7968
14.34,16.6826
22.7573,24.0686
25.4876,26.0487
23.5619,23.9355
24.9803,23.6977
28.0239,27.3663
26.474,27.1915
23.2995,24.3919
22.0003,24.3115
20.8578,25.0438
16.5282,23.9327
12.0425,20.5717
12.026,19.7734
11.5721,19.1315
6.2121,11.5211
0.915,4.0672
-1.7254,-0.4489
-0.5845,3.0037
0.8379,6.2377
4.1043,9.6594
4.996,9.7065
5.7631,11.3789
6.7803,13.7076
7.4229,15.9429
7.941,14.741
4.6158,9.9459
-1.365,3.5576
-7.0328,-1.0179
-5.2315,2.9692
0.5389,7.1753
-0.9718,5.1315
6.5802,11.4944
15.3826,16.9202
19.5291,19.7839
19.5509,19.6479
17.6668,16.6683
13.3142,11.9077
12.0556,10.5222
15.2659,14.6681
19.1954,17.7517
18.2813,16.6481
15.055,13.5759
9.5477,8.8478
9.2594,9.4326
8.5963,10.4239
2.3084,6.1968
-1.5105,1.0637
0.0144,1.4933
2.5395,3.2356
3.4711,2.7592
0.0905,0.783
-0.0084,1.5571
0.1115,-0.1686
0.7315,-2.2692
0.0392,-3.8068
-2.0276,-5.9378
-0.2191,-3.5372
3.3084,0.2698
-0.5702,-3.7044
-0.2299,-3.7722
6.392,4.2227
7.3891,5.5928
6.6678,4.9321
11.5717,9.4279
13.4131,10.6738
9.7235,8.9512
6.378,6.6039
2.9703,4.1631
3.3442,4.4725
7.3434,6.8133
7.2179,6.9668
11.5614,10.5581
16.3738,14.5874
18.3739,18.1168
20.2802,21.6463
15.5617,18.1447
11.7186,13.0186
10.0946,10.2054
9.1271,8.8612
14.6913,11.0172
20.2244,16.3297
18.3824,18.8297
16.0094,18.6108
19.4178,22.236
18.2327,22.2365
13.8606,18.5812
9.6764,13.4889
4.93,10.0219
2.9962,8.9299
2.9376,8.0255
5.3794,8.9337
10.29,11.6547
10.5134,12.8135
11.4874,13.3477
15.0867,15.1948
19.8424,16.8233
21.1919,17.8895
19.4793,18.6434
15.3294,16.0226
10.1485,9.3394
8.249,8.0001
6.3809,5.9109
5.0128,4.4779
4.5822,6.17
4.9954,5.7997
5.3774,6.8359
6.9786,8.0912
11.9866,11.3471
12.0573,13.3221
7.6908,10.2348
1.9808,6.1163
1.4274,6.8106
-0.5631,7.7866
0.6027,9.7941
7.0189,12.3957
8.9043,14.9664
9.1649,16.8185
7.3945,16.0146
5.3429,14.7733
2.8227,13.4695
1.5216,13.3221
4.0333,14.1124
2.014,14.5279
3.7136,17.1624
6.0698,17.9847
9.3638,19.3074
12.7831,19.7553
8.2338,14.172
4.6533,11.4952
4.0416,10.8809
5.3987,10.2668
5.5372,9.7778
4.3944,7.195
0.002,2.425
-5.9836,-2.5008
-9.0316,-2.7389
-13.5484,-4.6957
-16.6589,-7.7773
-16.8628,-8.7024
-15.6915,-8.0022
-12.9889,-6.2708
-7.7549,-1.9454
-6.833,0.2866
-12.4109,-5.0125
-16.7386,-10.7488
-24.4098,-17.36
-31.0497,-22.971
-30.9083,-23.9257
-31.8603,-27.2237
-29.7496,-25.8652
-25.2948,-22.2875
-21.7772,-21.6472
-19.3221,-20.3819
-17.7422,-18.4918
-17.0058,-17.039
-14.6441,-13.3047
-11.8759,-12.7887
-8.4199,-14.96
