CP1,CP2
-0.352,25.5454
0.2477,24.1318
0.5349,26.9683
0.9177,29.9923
0.6735,28.2351
0.8043,22.9153
1.4038,21.408
1.0325,22.2758
0.9776,21.7373
1.6082,25.1364
1.02,24.5667
0.838,23.7784
-0.3441,23.7714
-1.4636,20.7645
-1.2394,19.2265
-0.6402,16.4073
0.2715,16.9943
2.1518,17.5814
2.5926,13.3872
0.8497,11.5368
-0.0202,12.0302
0.3911,12.9925
-0.7913,13.3922
0.7137,12.8545
2.6229,8.6292
3.4715,8.4352
4.5388,11.366
2.856,10.2031
1.4544,9.8528
0.6777,9.3151
-0.0366,7.3087
-1.1571,5.6774
-1.4318,3.1086
-1.6792,2.6336
-1.9246,2.3149
-0.8264,2.59
1.1155,2.9904
0.7761,0.6096
-1.4383,0.0413
-1.8402,1.0982
-2.8047,-0.3763
-4.1443,-2.132
-5.8589,-3.2002
-4.2922,-2.2372
-3.7568,-0.2742
-5.2526,-0.936
-5.4359,-0.4414
-4.2755,-0.4467
-3.3026,-1.2646
-3.0174,0.7611
-1.6698,1.0371
-1.6972,0.657
-2.7246,1.7772
-1.7208,4.3036
-0.7797,5.0175
-1.8385,1.5129
-1.7412,1.6019
-0.3,1.5971
0.7973,0.4047
0.8945,-0.7565
0.3354,-2.8239
-0.5988,-2.2038
-0.5955,1.3536
-0.9986,2.3487
-1.8079,2.5315
-2.1172,0.1517
-1.0517,-1.4156
1.2326,-0.7328
1.3918,-1.55
1.1447,-3.2733
0.4914,-4.9029
-1.7558,-6.0326
-4.1592,-6.0061
-3.4063,-5.1672
-2.8096,-4.2972
-3.1505,-7.021
-2.679,-8.7448
-4.0199,-9.4061
-5.5798,-8.1299
-6.421,-6.8537
-5.7934,-6.6401
-4.7908,-8.145
-5.632,-9.7123
-6.4106,-9.1543
-6.5016,-12.9713
-6.6864,-18.0383
-6.2776,-16.4802
-4.7437,-12.1094
-2.616,-11.676
-0.676,-13.2115
-0.1423,-16.3408
-0.2336,-17.1265
-0.4186,-14.9746
-0.5099,-15.885
-1.4449,-19.4204
-2.6301,-20.7371
-2.8758,-19.9602
-3.1235,-19.1207
-1.6524,-18.8124
0.8167,-18.5353
1.4127,-18.3834
-0.2727,-16.544
-0.8957,-17.5484
0.0438,-20.6775
0.7041,-21.4628
-2.075,-19.3106
-3.0437,-18.2211
-0.0417,-18.9751
0.9915,-16.4166
0.9622,-12.6392
1.6535,-14.2994
1.4034,-17.3346
1.8115,-15.3385
2.8445,-11.4985
3.0338,-8.9399
2.3794,-8.1624
1.1331,-8.0723
2.7599,-9.1072
4.9803,-10.8296
5.4194,-11.4897
5.0147,-11.1811
4.7037,-12.6224
5.547,-14.1575
5.3921,-14.6926
4.6435,-16.1964
6.1136,-17.0126
6.9901,-16.5163
6.8978,-20.1138
8.0554,-20.8363
7.3694,-18.2151
5.8707,-13.1876
4.9656,-10.6603
3.248,-11.0705
2.8741,-12.1055
3.8127,-13.7032
4.3138,-14.8321
4.6273,-15.8987
5.5658,-14.4964
4.8794,-13.4692
5.6305,-12.067
6.2566,-10.3523
6.0702,-8.1376
5.54,-8.7667
5.0098,-8.8645
5.4483,-8.4
5.2618,-10.7167
3.544,-13.6898
2.045,-16.2256
2.7022,-19.8864
3.2656,-21.9536
2.7977,-22.302
2.6422,-23.5567
1.393,-26.3113
0.6126,-27.8473
-1.6367,-28.3834
-2.4174,-25.6384
-2.1355,-25.0494
-2.291,-25.5853
-2.9465,-25.3086
-1.9457,-23.0007
-0.9138,-20.3802
0.3993,-18.4159
0.2123,-20.4828
-0.3184,-24.7371
-0.6929,-25.6788
-1.0674,-23.5581
-1.9107,-21.7812
-1.4415,-20.9729
0.5589,-20.5709
0.6844,-19.9187
0.1849,-21.7976
1.1228,-26.0513
0.0919,-27.4299
-1.8765,-27.6521
-2.9699,-24.8742
-5.1884,-22.2525
-6.688,-21.2557
-7.6251,-22.4777
-6.4998,-22.3873
-5.6558,-21.2345
-6.4992,-21.9254
-5.7176,-22.3663
-5.3423,-24.2446
-6.2171,-25.1854
-6.9982,-25.2826
-7.5919,-26.0985
-8.6231,-25.1956
-9.9668,-25.7927
-9.248,-25.0148
-7.9355,-20.237
-5.6856,-15.9279
-4.6544,-14.4314
-4.7172,-13.0913
-4.9674,-13.9387
-3.6552,-12.6299
-3.3431,-10.321
-3.4684,-10.262
-2.7187,-9.0779
-1.7815,-11.6439
-1.5005,-13.2413
-1.2507,-10.12
-1.8133,-9.4988
-0.7822,-7.6589
0.2488,-5.2877
-0.2827,-6.8539
-1.0018,-8.6701
0.3105,-8.8614
2.0602,-13.7716
2.31,-17.0567
4.2474,-15.4981
4.2786,-13.6269
3.8722,-12.4433
3.9346,-11.4159
3.2781,-11.701
1.4966,-10.111
1.2463,-7.5209
-0.6291,-9.5558
-3.1294,-12.1845
-2.0672,-12.4695
0.5576,-9.817
1.6511,-4.3207
2.9321,-0.3557
3.4943,-0.0158
2.6816,-0.8321
2.2438,-2.5861
2.3059,-3.6526
2.0555,-2.3127
1.8988,0.746
2.2753,3.3359
3.4937,6.1132
3.8057,6.8904
4.1177,8.4802
5.4923,10.6013
5.7105,12.4725
5.4287,14.6249
4.5219,10.4649
3.9589,4.4612
1.9583,1.7389
0.6453,5.8915
-0.949,8.6691
0.113,7.0719
-0.7938,5.1309
-0.2943,4.6899
0.0176,2.9675
-0.3893,1.5265
-0.2981,2.929
0.2637,3.3315
-0.2994,0.4526
-1.3938,-0.5202
-1.9883,0.9759
-1.0203,6.1908
-1.6129,10.437
-1.8324,12.9957
0.2899,13.7732
0.1954,9.8009
-1.5554,6.4536
-2.525,7.6063
-3.5259,9.9152
-2.8393,12.1615
-2.4007,12.6265
-0.9952,10.9041
0.129,8.9631
0.1595,11.9597
-0.4663,16.2063
-0.7484,19.3278
-1.093,19.8242
-3.1876,19.8204
-6.4386,19.0353
-6.252,19.4064
-3.9403,18.1528
-2.3786,16.3368
-1.9127,16.7708
-1.5385,15.6423
-1.7894,15.6075
-0.882,15.4478
0.2734,12.288
0.8037,10.2531
1.209,9.1869
1.3956,10.9644
1.9259,12.5545
3.0187,12.5821
3.1115,11.141
4.1106,8.9499
4.8598,8.2275
2.5151,5.4115
0.8891,3.408
0.9819,1.2172
-0.4564,-0.5985
-3.1134,2.9297
-3.9891,4.7079
-2.771,3.6736
0.1346,5.8892
1.4153,7.4798
1.0396,6.2266
1.0702,5.8483
-0.2118,5.9074
-2.1188,4.4354
-2.1509,3.0258
-0.9643,0.9913
-1.0277,-0.012
-1.3724,1.516
-2.1858,1.2939
0.0632,4.5719
1.4372,5.2248
1.1237,4.0966
-0.7523,3.7183
-1.5971,2.4338
-4.5357,3.0868
-5.2555,7.0212
-4.444,8.7992
-4.9136,9.0147
-5.5395,10.3866
-6.1966,8.1022
-5.3224,5.5367
-3.5418,4.7527
-3.9176,8.2186
-4.2621,15.1533
-2.669,19.2131
-2.6073,19.7417
-1.858,17.3016
-1.0775,15.0491
-1.0157,14.8278
0.6086,13.6065
2.0768,11.3852
1.8887,9.9452
1.3881,5.6302
-0.1438,1.565
-3.3632,-0.5003
-5.7702,-3.1906
-5.8646,-2.1621
-5.2404,0.6789
-4.835,2.3324
-1.6795,6.7983
-0.4301,9.2642
-0.5557,9.5424
1.3812,10.8519
2.818,12.8802
2.536,12.6897
-0.121,8.6865
-1.6217,7.8084
-1.6536,7.7429
-1.373,7.3024
-1.4986,6.9868
-2.093,6.1712
-2.3436,5.387
-2.438,4.3843
-3.4073,4.7566
-3.1579,6.7852
-2.9085,7.2826
-2.6591,8.2176
-2.2221,7.4339
-1.8163,6.5566
-1.2544,9.1479
-1.4424,12.4578
-0.5992,15.2989
-0.5685,14.6713
-1.1628,9.5127
-0.2882,9.6976
0.5863,12.6325
2.8046,14.4112
5.0543,12.0649
6.0541,11.3748
7.3352,15.8096
8.4599,19.8695
8.8347,18.3669
10.3969,17.0517
9.959,16.7365
6.4275,15.7964
4.4896,15.5126
4.4248,14.6038
3.5513,12.9136
2.8947,12.0359
3.7069,11.5334
4.7066,11.3435
4.6731,12.5288
3.7665,11.7455
2.0161,10.3997
0.3596,11.8977
-0.6094,12.4271
-2.016,12.8315
-3.1725,12.736
-1.9832,10.7968
-2.4832,7.1389
-2.3583,9.0121
-2.2959,10.6352
-2.1084,7.8832
-1.8604,6.5061
-3.1417,7.8165
-1.7353,9.2518
-2.6728,8.781
-4.1103,8.8101
-5.5791,7.7142
-5.7335,4.0558
-5.8585,5.585
-5.4522,6.7394
-4.9208,6.5501
-3.8582,7.0168
-3.8581,3.6711
